Tweet Id;Datetime;retweetCount;likeCount;Text
1519995157776633856;2022-04-29 11:01:00+00:00;0;0;@PKO_Research Dlaczego na wykresie nie ma Polski? Przecież trzeba się chwalić, że jesteśmy w czołówce.
1519994171238629377;2022-04-29 10:57:05+00:00;0;0;CI Games zawarł z PKO BP umowę kredytu do 29 mln zł @CIGamesOfficial https://t.co/5GOoBATL3p
1519992225752625154;2022-04-29 10:49:21+00:00;0;0;@PawelBorys_ Czyli jeżeli ktoś oszczędza w PKO to ma minus 12.5 % Gratulujemy @MorawieckiM i @pisorgpl
1519989581843685384;2022-04-29 10:38:51+00:00;1;3;"Inwestorzy zniechęcą się do rynku nieruchomości nawet bardziej niż ci, którym drogę do niego zamknie zbyt niska zdolność kredytowa - przewidują analitycy PKO BP
@pulsinwestora

https://t.co/JuDBgmHeDn"
1519988653845532672;2022-04-29 10:35:09+00:00;0;0;@Rozmowa_RMF @RMF24pl Temu głównemu analitykowi ekonomicznemu PKO tata do wanny wchodził jak był mały albo sie za dużo zadaje z PiSdzielcami  bo tak pierdoli ze aż żal słuchać zawsze i wszystko to wina putina albo tuska jebać PiS i pisdzielców
1519987405335498752;2022-04-29 10:30:12+00:00;0;0;CI Games SA (9/2022): Zawarcie umowy kredytu z PKO BP S.A. https://t.co/a0Hqi4aORg [2022.04.29 12:22] #espi #gpw #NewConnect #giełda #inwestowanie #CIGamesSA
1519986182444417024;2022-04-29 10:25:20+00:00;1;1;ESPI/  CI GAMES SA (9/2022) Zawarcie umowy kredytu z PKO BP S.A. https://t.co/EcN3Ugk4h6 #polskiegry #PolishGames #gamedev #GPW #inwestycje
1519985821981593600;2022-04-29 10:23:54+00:00;0;4;"cc WIG-Nieruchomości

od @PKO_Research https://t.co/4PngpAz4hn"
1519984312271228928;2022-04-29 10:17:54+00:00;0;0;"BANKI

DODATKOWA SKŁADKA NA BFG ALBO PKO BP MOŻE SZYKOWAĆ SIĘ DO PRZEJĘCIA. INNEJ DROGI NIE MA👇 https://t.co/BrHz0ZizBF"
1519982672814166016;2022-04-29 10:11:23+00:00;0;0;"Choć trudno w to uwierzyć, Polacy nadal popełniają błędy, które złodzieje wykorzystywali już… 20 lat temu.
Jeden błąd i pieniądze znikają. PKO BP: niestety Polacy to robią.
NADAL zapisują PIN do swej karty płatniczej na karteczce trzymanej w portfelu lub NAWET NA SAMEJ KARCIE. https://t.co/1mSafRRZM3"
1519982266298028038;2022-04-29 10:09:46+00:00;0;6;To były drogie święta. Ceny żywności w Polsce w kwietniu wzrosły o 4,2% m/m, najsilniej od 1995. To jeszcze nie koniec podwyżek cen żywności – trendy zarówno globalne jak i lokalne pozostają na razie nieubłagane. https://t.co/qPM0Q73I4V
1519981332406759424;2022-04-29 10:06:04+00:00;0;0;Gracz ŁKS-u chce rozwiązać kontrakt. Nie pomoże w walce o PKO Ekstraklasę https://t.co/rUchR1oSd3
1519981151959629824;2022-04-29 10:05:21+00:00;0;0;"Banki alarmują, pieniądze znikają z kont Polaków. PKO BP: ten prosty błąd wciąż klienci popełniają.
https://t.co/uTDoxm38Xu"
