Tweet Id;Datetime;retweetCount;likeCount;Text;Label
1519995157776633856;2022-04-29 11:01:00+00:00;0;0;wykres miec polska chwalic czolowka;{'neg': 0.0, 'neu': 0.481, 'pos': 0.519, 'compound': 0.6597}
1519994171238629377;2022-04-29 10:57:05+00:00;0;0;games zawrzec pko umowa kredyt mln;{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.4939}
1519992225752625154;2022-04-29 10:49:21+00:00;0;0;oszczedzac pko miec minus gratulowac;{'neg': 0.0, 'neu': 0.652, 'pos': 0.348, 'compound': 0.4939}
1519989581843685384;2022-04-29 10:38:51+00:00;1;3;inwestor zniechecic rynek nieruchomosc droga zamknac zbyt niski zdolnosc kredytowy przewidywac analityk pko;{'neg': 0.225, 'neu': 0.642, 'pos': 0.133, 'compound': -0.25}
1519988653845532672;2022-04-29 10:35:09+00:00;0;0;temu glowny analityk ekonomiczny pko tata wanna wchodzic maly zadawac pisdzielcami pierdolic zal sluchac zawsz wino putina albo tuska jebac pis pisdzielcow;{'neg': 0.132, 'neu': 0.82, 'pos': 0.048, 'compound': -0.5}
1519987405335498752;2022-04-29 10:30:12+00:00;0;0;games zawarcie umowa kredyt pko lda;{'neg': 0.0, 'neu': 0.652, 'pos': 0.348, 'compound': 0.4939}
1519986182444417024;2022-04-29 10:25:20+00:00;1;1;espi games zawarcie umowa kredyt pko;{'neg': 0.0, 'neu': 0.686, 'pos': 0.314, 'compound': 0.4939}
1519985821981593600;2022-04-29 10:23:54+00:00;0;4;wig nieruchomosci;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1519984312271228928;2022-04-29 10:17:54+00:00;0;0;banki dodatkowa skladka bfg pko moc szykowac przejecia innej drogi;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1519982672814166016;2022-04-29 10:11:23+00:00;0;0;choc trudno uwierzyc polak nadal popelniac blad zlodziej wykorzystywac rok temu blad pieniadz znikac pko niestety polak robic nadal zapisywac pin swej karta platniczy karteczka trzymanej portfel samej karcie;{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.8442}
1519982266298028038;2022-04-29 10:09:46+00:00;0;6;drogi swieto cenaa zywnosc polska kwiecien wzrosc silnie koniec podwyzka cena zywnosc trendy zarowno globalny lokalny pozostawac raz nieublagany;{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2732}
1519981332406759424;2022-04-29 10:06:04+00:00;0;0;gracz lks chciec rozwiazac kontrakt pomoc walka pko ekstraklasa;{'neg': 0.159, 'neu': 0.488, 'pos': 0.354, 'compound': 0.296}
1519981151959629824;2022-04-29 10:05:21+00:00;0;0;bank alarmowac pieniadz znikac konto polaki pko prosty blad wciaz klient popelniac;{'neg': 0.257, 'neu': 0.658, 'pos': 0.086, 'compound': -0.3818}
1519975195687239680;2022-04-29 09:41:41+00:00;0;0;orka fundusz rzecz poszkodowany rodzina kwk owek owka pko line kontakt poszkodowany rodzina tel lub mail fundacjafrg;{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.6597}
1519974880535617536;2022-04-29 09:40:25+00:00;0;0;polska wykres manipisulacja;{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.296}
1519974454654386176;2022-04-29 09:38:44+00:00;0;0;polska wykres lewy;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1519974042014527489;2022-04-29 09:37:06+00:00;1;4;gospodarek strefa euro kontynuowac wzrost problem fala omikron zaburzenie podazowy wojna ukraina pkb zwiekszyc ryzyko recesja uniknac niemiec spadek pkb raz wzrosc;{'neg': 0.447, 'neu': 0.356, 'pos': 0.197, 'compound': -0.8442}
1519974006555910145;2022-04-29 09:36:57+00:00;0;0;prz inflacja jestescie tylu rynek;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1519973620805734401;2022-04-29 09:35:25+00:00;1;7;rosnac zroznicowanie stopa inflacja poszczegolny panstwo strefa euro estonia inflacja hicp wzrosc malta francja oscylowac wokol trudny orzech zgryzienia ebc;{'neg': 0.104, 'neu': 0.705, 'pos': 0.191, 'compound': 0.2732}
1519973608537440256;2022-04-29 09:35:22+00:00;5;12;inflacja hicp strefa euro kwiecien raz wzrosc minimalnie dynamik cenaa energia spowolnic marzec przyspieszac wzrost cenaa zywnosc uslugi;{'neg': 0.0, 'neu': 0.637, 'pos': 0.363, 'compound': 0.761}
1519971432800866304;2022-04-29 09:26:43+00:00;1;1;pamietac dokladnie rok wczesnie kredyt konsumpcyjny wziac pko zderzyc rzeczywistosc;{'neg': 0.106, 'neu': 0.894, 'pos': 0.0, 'compound': -0.0772}
1519971387464687622;2022-04-29 09:26:33+00:00;0;1;giertych pisa realizowac swoja zlodziejaska polityke poniedzialek skladam pozew wobec czlonkow zarzad pko mld odszkodowanie wobec czarnecki itp;{'neg': 0.202, 'neu': 0.798, 'pos': 0.0, 'compound': -0.5859}
